[41251.0, 3714.41933, 'N', 12646.46664, 'E', 'A']
[41252.0, 3714.41997, 'N', 12646.46631, 'E', 'A']
[41253.0, 3714.42062, 'N', 12646.46597, 'E', 'A']
[41254.0, 3714.42128, 'N', 12646.46556, 'E', 'A']
[41255.0, 3714.42194, 'N', 12646.46501, 'E', 'A']
[41256.0, 3714.4226, 'N', 12646.46443, 'E', 'A']
[41257.0, 3714.42319, 'N', 12646.46388, 'E', 'A']
[41258.0, 3714.42362, 'N', 12646.46329, 'E', 'A']
[41259.0, 3714.42399, 'N', 12646.46264, 'E', 'A']
[41300.0, 3714.42432, 'N', 12646.46197, 'E', 'A']
[41301.0, 3714.42464, 'N', 12646.46124, 'E', 'A']
[41302.0, 3714.42498, 'N', 12646.46051, 'E', 'A']
[41303.0, 3714.42538, 'N', 12646.45981, 'E', 'A']
[41304.0, 3714.42577, 'N', 12646.45907, 'E', 'A']
[41305.0, 3714.42618, 'N', 12646.45826, 'E', 'A']
[41306.0, 3714.42653, 'N', 12646.45748, 'E', 'A']
[41307.0, 3714.42688, 'N', 12646.45673, 'E', 'A']
[41308.0, 3714.42721, 'N', 12646.456, 'E', 'A']
[41309.0, 3714.42754, 'N', 12646.45526, 'E', 'A']
[41310.0, 3714.42788, 'N', 12646.45446, 'E', 'A']
[41311.0, 3714.42823, 'N', 12646.45368, 'E', 'A']
[41312.0, 3714.42853, 'N', 12646.45293, 'E', 'A']
[41313.0, 3714.42885, 'N', 12646.45214, 'E', 'A']
[41314.0, 3714.4292, 'N', 12646.45132, 'E', 'A']
[41315.0, 3714.42954, 'N', 12646.45045, 'E', 'A']
[41316.0, 3714.42992, 'N', 12646.44966, 'E', 'A']
[41317.0, 3714.43028, 'N', 12646.44892, 'E', 'A']
[41318.0, 3714.43061, 'N', 12646.44823, 'E', 'A']
[41319.0, 3714.43094, 'N', 12646.44748, 'E', 'A']
[41320.0, 3714.43124, 'N', 12646.44673, 'E', 'A']
[41321.0, 3714.43158, 'N', 12646.44603, 'E', 'A']
[41322.0, 3714.43202, 'N', 12646.44545, 'E', 'A']
[41323.0, 3714.43254, 'N', 12646.44499, 'E', 'A']
[41324.0, 3714.43318, 'N', 12646.44464, 'E', 'A']
[41325.0, 3714.4339, 'N', 12646.44446, 'E', 'A']
[41326.0, 3714.4346, 'N', 12646.44446, 'E', 'A']
[41327.0, 3714.43521, 'N', 12646.44463, 'E', 'A']
[41328.0, 3714.43586, 'N', 12646.44492, 'E', 'A']
[41329.0, 3714.43652, 'N', 12646.4452, 'E', 'A']
[41330.0, 3714.43717, 'N', 12646.44566, 'E', 'A']
[41331.0, 3714.43781, 'N', 12646.44608, 'E', 'A']
[41332.0, 3714.43843, 'N', 12646.44643, 'E', 'A']
[41333.0, 3714.43903, 'N', 12646.44673, 'E', 'A']
[41334.0, 3714.43961, 'N', 12646.44714, 'E', 'A']
[41335.0, 3714.44026, 'N', 12646.4476, 'E', 'A']
[41336.0, 3714.4409, 'N', 12646.44795, 'E', 'A']
[41337.0, 3714.44156, 'N', 12646.44834, 'E', 'A']
[41338.0, 3714.44219, 'N', 12646.44876, 'E', 'A']
[41339.0, 3714.44286, 'N', 12646.44913, 'E', 'A']
[41341.0, 3714.44412, 'N', 12646.44984, 'E', 'A']
[41341.0, 3714.44412, 'N', 12646.44984, 'E', 'A']
[41343.0, 3714.44538, 'N', 12646.45057, 'E', 'A']
[41344.0, 3714.44599, 'N', 12646.45105, 'E', 'A']
[41345.0, 3714.44656, 'N', 12646.45146, 'E', 'A']
[41346.0, 3714.44717, 'N', 12646.45183, 'E', 'A']
[41347.0, 3714.4478, 'N', 12646.45224, 'E', 'A']
[41348.0, 3714.44843, 'N', 12646.45268, 'E', 'A']
[41349.0, 3714.4491, 'N', 12646.45311, 'E', 'A']
[41350.0, 3714.44977, 'N', 12646.4535, 'E', 'A']
[41351.0, 3714.45042, 'N', 12646.45394, 'E', 'A']
[41352.0, 3714.45106, 'N', 12646.4544, 'E', 'A']
[41353.0, 3714.45168, 'N', 12646.45485, 'E', 'A']
[41354.0, 3714.45226, 'N', 12646.45521, 'E', 'A']
[41355.0, 3714.45287, 'N', 12646.45553, 'E', 'A']
[41356.0, 3714.45352, 'N', 12646.45591, 'E', 'A']
[41357.0, 3714.45418, 'N', 12646.45626, 'E', 'A']
[41358.0, 3714.45489, 'N', 12646.45663, 'E', 'A']
[41359.0, 3714.45557, 'N', 12646.45698, 'E', 'A']
[41400.0, 3714.45626, 'N', 12646.45731, 'E', 'A']
[41401.0, 3714.45691, 'N', 12646.45769, 'E', 'A']
[41402.0, 3714.45749, 'N', 12646.45807, 'E', 'A']
[41403.0, 3714.45814, 'N', 12646.45848, 'E', 'A']
[41404.0, 3714.4588, 'N', 12646.45882, 'E', 'A']
[41405.0, 3714.45945, 'N', 12646.45914, 'E', 'A']
[41406.0, 3714.46007, 'N', 12646.45947, 'E', 'A']
[41407.0, 3714.46068, 'N', 12646.45981, 'E', 'A']
[41408.0, 3714.4613, 'N', 12646.46016, 'E', 'A']
[41409.0, 3714.46197, 'N', 12646.4605, 'E', 'A']
[41410.0, 3714.46263, 'N', 12646.46082, 'E', 'A']
[41411.0, 3714.46326, 'N', 12646.46116, 'E', 'A']
[41412.0, 3714.46391, 'N', 12646.46149, 'E', 'A']
[41413.0, 3714.46461, 'N', 12646.46182, 'E', 'A']
[41414.0, 3714.4653, 'N', 12646.46214, 'E', 'A']
[41415.0, 3714.46603, 'N', 12646.46245, 'E', 'A']
[41416.0, 3714.46673, 'N', 12646.46274, 'E', 'A']
[41417.0, 3714.46744, 'N', 12646.46305, 'E', 'A']
[41418.0, 3714.46814, 'N', 12646.46333, 'E', 'A']
[41419.0, 3714.46882, 'N', 12646.46368, 'E', 'A']
[41420.0, 3714.46945, 'N', 12646.46405, 'E', 'A']
[41421.0, 3714.47006, 'N', 12646.46442, 'E', 'A']
[41422.0, 3714.47074, 'N', 12646.4648, 'E', 'A']
[41423.0, 3714.47142, 'N', 12646.4651, 'E', 'A']
[41424.0, 3714.47212, 'N', 12646.46532, 'E', 'A']
[41425.0, 3714.47278, 'N', 12646.46563, 'E', 'A']
[41426.0, 3714.47346, 'N', 12646.46593, 'E', 'A']
[41427.0, 3714.47413, 'N', 12646.46617, 'E', 'A']
[41428.0, 3714.47482, 'N', 12646.46636, 'E', 'A']
[41429.0, 3714.47548, 'N', 12646.46659, 'E', 'A']
[41430.0, 3714.47616, 'N', 12646.46686, 'E', 'A']
[41431.0, 3714.47685, 'N', 12646.46706, 'E', 'A']
[41432.0, 3714.47746, 'N', 12646.46724, 'E', 'A']
[41433.0, 3714.47808, 'N', 12646.46745, 'E', 'A']
[41434.0, 3714.47874, 'N', 12646.46763, 'E', 'A']
[41435.0, 3714.47943, 'N', 12646.46779, 'E', 'A']
[41436.0, 3714.4801, 'N', 12646.46795, 'E', 'A']
[41437.0, 3714.48077, 'N', 12646.46806, 'E', 'A']
[41438.0, 3714.48144, 'N', 12646.46819, 'E', 'A']
[41439.0, 3714.48217, 'N', 12646.46832, 'E', 'A']
[41440.0, 3714.4829, 'N', 12646.46848, 'E', 'A']
[41441.0, 3714.48365, 'N', 12646.46857, 'E', 'A']
[41442.0, 3714.48435, 'N', 12646.46865, 'E', 'A']
[41443.0, 3714.48505, 'N', 12646.46873, 'E', 'A']
[41444.0, 3714.48579, 'N', 12646.46882, 'E', 'A']
[41445.0, 3714.48658, 'N', 12646.46887, 'E', 'A']
[41446.0, 3714.48736, 'N', 12646.46889, 'E', 'A']
[41447.0, 3714.48807, 'N', 12646.46892, 'E', 'A']
[41448.0, 3714.48875, 'N', 12646.46895, 'E', 'A']
[41449.0, 3714.48949, 'N', 12646.46896, 'E', 'A']
